commit,auth_date,author,subject,category
6a8de2ed,2025-09-29,zl7261,web_ui: check node source and target,tests
91387628,2025-10-06,yangdx,Add test script for aquery_data endpoint validation,tests
dab1c358,2025-10-17,yangdx,Optimize chat performance by reducing animations in inactive tabs,tests
9e5004e2,2025-10-22,xiaojunxiang,"fix(docs): correct typo ""acivate"" → ""activate""",tests
e2ec1cdc,2025-10-25,Daniel.y,Merge pull request #2258 from danielaskdd/pipeline-cancelllation,tests
626b42bc,2025-11-01,anouarbm,feat: add optional Langfuse observability integration,tests
5cdb4b0e,2025-11-02,anouarbm,fix: Apply ruff formatting and rename test_dataset to sample_dataset,tests
b12b693a,2025-11-02,anouarbm,fixed ruff format of csv path,tests
10f6e695,2025-11-03,yangdx,Improve Langfuse integration and stream response cleanup handling,tests
2fdb5f5e,2025-11-03,anouarbm,chore: trigger CI re-run 2,tests
36bffe22,2025-11-03,anouarbm,chore: trigger CI re-run,tests
a172cf89,2025-11-03,anouarbm,feat(evaluation): Add sample documents for reproducible RAGAS testing,tests
a790f081,2025-11-06,yangdx,Refine gitignore to only exclude root-level test files,tests
b0d44d28,2025-11-06,yangdx,Add Langfuse observability integration documentation,tests
2f160652,2025-11-09,yangdx,Refactor keyword_extraction from kwargs to explicit parameter,tests
5885637e,2025-11-12,yangdx,Add specialized JSON string sanitizer to prevent UTF-8 encoding errors,tests
6918a88f,2025-11-12,yangdx,Add specialized JSON string sanitizer to prevent UTF-8 encoding errors,tests
7d394fb0,2025-11-13,yangdx,Replace asyncio.iscoroutine with inspect.isawaitable for better detection,tests
a24d8181,2025-11-13,yangdx,Improve docling integration with macOS compatibility and CLI flag,tests
c230d1a2,2025-11-13,yangdx,Replace asyncio.iscoroutine with inspect.isawaitable for better detection,tests
c246eff7,2025-11-13,yangdx,Improve docling integration with macOS compatibility and CLI flag,tests
1a183702,2025-11-17,BukeLy,docs: Update test file docstring to reflect all 11 test scenarios,tests
288498cc,2025-11-17,BukeLy,test: Convert test_workspace_isolation.py to pytest style,tests
3806892a,2025-11-17,Daniel.y,Merge pull request #2371 from BukeLy/pytest-style-conversion,tests
